,Car,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model,Origin
0,0,18.0,8,307.0,130.0,3504.0,12.0,70,0
1,1,15.0,8,350.0,165.0,3693.0,11.5,70,0
2,2,18.0,8,318.0,150.0,3436.0,11.0,70,0
3,3,16.0,8,304.0,150.0,3433.0,12.0,70,0
4,4,17.0,8,302.0,140.0,3449.0,10.5,70,0
5,5,15.0,8,429.0,198.0,4341.0,10.0,70,0
6,6,14.0,8,454.0,220.0,4354.0,9.0,70,0
7,7,14.0,8,440.0,215.0,4312.0,8.5,70,0
8,8,14.0,8,455.0,225.0,4425.0,10.0,70,0
9,9,15.0,8,390.0,190.0,3850.0,8.5,70,0
10,10,0.0,4,133.0,115.0,3090.0,17.5,70,1
11,11,0.0,8,350.0,165.0,4142.0,11.5,70,0
12,12,0.0,8,351.0,153.0,4034.0,11.0,70,0
13,13,0.0,8,383.0,175.0,4166.0,10.5,70,0
14,14,0.0,8,360.0,175.0,3850.0,11.0,70,0
15,15,15.0,8,383.0,170.0,3563.0,10.0,70,0
16,16,14.0,8,340.0,160.0,3609.0,8.0,70,0
17,17,0.0,8,302.0,140.0,3353.0,8.0,70,0
18,18,15.0,8,400.0,150.0,3761.0,9.5,70,0
19,19,14.0,8,455.0,225.0,3086.0,10.0,70,0
20,20,24.0,4,113.0,95.0,2372.0,15.0,70,2
21,21,22.0,6,198.0,95.0,2833.0,15.5,70,0
22,22,18.0,6,199.0,97.0,2774.0,15.5,70,0
23,23,21.0,6,200.0,85.0,2587.0,16.0,70,0
24,24,27.0,4,97.0,88.0,2130.0,14.5,70,2
25,25,26.0,4,97.0,46.0,1835.0,20.5,70,1
26,26,25.0,4,110.0,87.0,2672.0,17.5,70,1
27,27,24.0,4,107.0,90.0,2430.0,14.5,70,1
28,28,25.0,4,104.0,95.0,2375.0,17.5,70,1
29,29,26.0,4,121.0,113.0,2234.0,12.5,70,1
30,30,21.0,6,199.0,90.0,2648.0,15.0,70,0
